Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_264_881,VGND,li1,413.5400,728.9600,0.000000
FILLER_264_869,VGND,li1,408.0200,728.9600,0.000000
FILLER_264_867,VGND,li1,404.5700,728.9600,0.000000
FILLER_264_861,VGND,li1,402.9600,728.9600,0.000000
FILLER_264_849,VGND,li1,398.8200,728.9600,0.000000
FILLER_264_837,VGND,li1,393.3000,728.9600,0.000000
FILLER_264_825,VGND,li1,387.7800,728.9600,0.000000
FILLER_264_813,VGND,li1,382.2600,728.9600,0.000000
FILLER_264_811,VGND,li1,378.8100,728.9600,0.000000
FILLER_264_805,VGND,li1,377.2000,728.9600,0.000000
FILLER_264_793,VGND,li1,373.0600,728.9600,0.000000
FILLER_264_781,VGND,li1,367.5400,728.9600,0.000000
FILLER_264_769,VGND,li1,362.0200,728.9600,0.000000
FILLER_264_757,VGND,li1,356.5000,728.9600,0.000000
FILLER_264_755,VGND,li1,353.0500,728.9600,0.000000
FILLER_264_749,VGND,li1,351.4400,728.9600,0.000000
FILLER_264_737,VGND,li1,347.3000,728.9600,0.000000
FILLER_264_725,VGND,li1,341.7800,728.9600,0.000000
FILLER_264_713,VGND,li1,336.2600,728.9600,0.000000
FILLER_264_701,VGND,li1,330.7400,728.9600,0.000000
FILLER_264_699,VGND,li1,327.2900,728.9600,0.000000
FILLER_264_693,VGND,li1,325.6800,728.9600,0.000000
FILLER_264_681,VGND,li1,321.5400,728.9600,0.000000
FILLER_264_669,VGND,li1,316.0200,728.9600,0.000000
FILLER_264_657,VGND,li1,310.5000,728.9600,0.000000
FILLER_264_645,VGND,li1,304.9800,728.9600,0.000000
FILLER_264_643,VGND,li1,301.5300,728.9600,0.000000
FILLER_264_637,VGND,li1,299.9200,728.9600,0.000000
FILLER_264_625,VGND,li1,295.7800,728.9600,0.000000
FILLER_264_613,VGND,li1,290.2600,728.9600,0.000000
FILLER_264_601,VGND,li1,284.7400,728.9600,0.000000
