net,length_um
pwm_inst.CMPY_REG\[1\],114.26µm
_2760_,114.24µm
clknet_leaf_57_wb_clk_i,114.22µm
pwm_inst.CMPY_REG\[3\],113.92µm
net111,113.92µm
net131,113.88µm
net395,113.68µm
_2898_,113.58µm
_2252_,113.28µm
pwm_inst.RELOAD_REG\[14\],112.84µm
clknet_leaf_56_wb_clk_i,112.76µm
_2834_,112.58µm
net362,112.54µm
_2125_,112.44µm
pwm_inst.TMR_WIRE\[14\],112.32µm
_1792_,111.88µm
pwm_inst.CMPX_REG\[9\],111.88µm
net257,111.76µm
pwm_inst.CMPY_REG\[10\],111.74µm
uart_inst.instance_to_wrap.fifo_tx.full,111.62µm
clknet_leaf_47_wb_clk_i,111.62µm
net393,111.34µm
clknet_leaf_26_wb_clk_i,111.1µm
_2603_,110.78µm
net456,110.77µm
net387,110.76µm
clknet_leaf_62_wb_clk_i,110.3µm
_1665_,110.175µm
net360,110.08µm
clknet_leaf_25_wb_clk_i,109.76µm
pwm_inst.CMPX_REG\[26\],108.68µm
clknet_leaf_35_wb_clk_i,108.55µm
pwm_inst.CMPY_REG\[17\],108.3µm
net541,108.18µm
pwm_inst.instance_to_wrap.tmr_dir,107.79µm
net166,107.215µm
net135,107.135µm
_2157_,106.58µm
net406,106.24µm
net359,105.66µm
_2899_,105.56µm
net372,105.56µm
_1951_,105.45µm
net401,105.34µm
net297,105.25µm
clknet_leaf_27_wb_clk_i,105.1µm
_2545_,104.95µm
net375,104.78µm
pwm_inst.TMR_WIRE\[19\],104.62µm
_1462_,104.24µm
_2684_,104.12µm
net413,103.86µm
net385,103.82µm
_1261_,103.74µm
pwm_inst.CMPY_REG\[23\],103.445µm
_1455_,103.24µm
clknet_leaf_38_wb_clk_i,103.18µm
uart_inst.RX_FIFO_FLUSH_REG,102.68µm
pwm_inst.CFG_REG\[1\],102.675µm
_2138_,102.6µm
net129,102.42µm
_2790_,102.26µm
net221,102.25µm
net390,102.12µm
_1625_,102.06µm
clknet_leaf_34_wb_clk_i,101.94µm
net157,101.575µm
net107,101.06µm
net368,100.76µm
pwm_inst.RELOAD_REG\[28\],100.68µm
net180,100.475µm
net312,100.42µm
_2172_,100.05µm
net313,99.9µm
clknet_leaf_1_wb_clk_i,99.6µm
net397,99.46µm
net412,98.9µm
net481,98.62µm
net311,98.36µm
_2806_,98.02µm
net381,98µm
clknet_leaf_36_wb_clk_i,97.64µm
_2131_,97.5µm
clknet_leaf_29_wb_clk_i,97.475µm
net301,97.4µm
net187,97.15µm
_2822_,96.86µm
_1669_,96.14µm
dat_o\[2\]\[15\],96.01µm
_1232_,95.92µm
net149,95.74µm
net130,95.62µm
pwm_inst.CMPX_REG\[23\],95.33µm
clknet_leaf_33_wb_clk_i,95.235µm
net214,94.89µm
_2908_,94.855µm
pwm_inst.instance_to_wrap.pwm0_reg,94.74µm
_1463_,94.46µm
net170,94.42µm
net331,94.35µm
_2242_,93.6µm
pwm_inst.CMPX_REG\[13\],93.37µm
_1460_,93.32µm
net140,93.24µm
net411,93.18µm
net143,93.16µm
clknet_leaf_31_wb_clk_i,93.13µm
pwm_inst.RELOAD_REG\[13\],92.88µm
pwm_inst.RELOAD_REG\[15\],92.26µm
_2129_,92.255µm
_2120_,92.19µm
uart_inst.PR_REG\[14\],91.96µm
pwm_inst.instance_to_wrap.tmr_start,91.76µm
clknet_leaf_63_wb_clk_i,91.695µm
_1745_,91.64µm
_1454_,91.6µm
_2126_,91.355µm
uart_inst.CFG_REG\[10\],90.96µm
pwm_inst.CMPY_REG\[8\],90.84µm
clknet_leaf_48_wb_clk_i,90.82µm
pwm_inst.PR_REG\[4\],90.685µm
_2674_,90.58µm
net369,90.3µm
pwm_inst.CMPX_REG\[27\],90.24µm
_2866_,90.2µm
pwm_inst.CMPY_REG\[14\],89.96µm
_1457_,89.86µm
clknet_leaf_52_wb_clk_i,89.82µm
pwm_inst.RELOAD_REG\[26\],89.775µm
pwm_inst.CMPX_REG\[11\],89.68µm
pwm_inst.CMPY_REG\[20\],89.61µm
_2675_,89.46µm
net103,89.085µm
clknet_leaf_21_wb_clk_i,88.76µm
dat_o\[2\]\[1\],88.6µm
pwm_inst.TMR_WIRE\[22\],88.5µm
uart_inst.CFG_REG\[11\],87.92µm
pwm_inst.RELOAD_REG\[27\],87.87µm
_1439_,87.82µm
net354,86.84µm
uart_inst.instance_to_wrap.uart_rx.f_error_reg,86.66µm
clknet_leaf_15_wb_clk_i,86.6µm
_1773_,86.52µm
_2127_,86.26µm
_1664_,85.98µm
_2079_,85.97µm
uart_inst.en,85.8µm
net226,85.76µm
_2867_,85.57µm
clknet_leaf_50_wb_clk_i,85.54µm
uart_inst.CFG_REG\[0\],84.96µm
net376,84.7µm
net402,84.43µm
net155,84.18µm
clknet_leaf_7_wb_clk_i,83.94µm
clknet_leaf_19_wb_clk_i,83.94µm
pwm_inst.RELOAD_REG\[30\],83.78µm
pwm_inst.TMR_WIRE\[8\],83.74µm
net408,83.56µm
_2865_,83.28µm
uart_inst.TX_FIFO_LEVEL_WIRE\[1\],83.24µm
_2763_,83.18µm
net314,83.12µm
uart_inst.instance_to_wrap.uart_rx.current_state\[2\],83.08µm
_2877_,83.02µm
_2854_,82.71µm
clknet_leaf_8_wb_clk_i,82.7µm
_1819_,82.64µm
clknet_leaf_39_wb_clk_i,82.56µm
uart_inst.PR_REG\[15\],82.32µm
_2027_,82.3µm
net267,82.24µm
dat_o\[2\]\[5\],82.08µm
_1719_,81.56µm
_2814_,81.1µm
pwm_inst.PR_REG\[10\],80.88µm
_1216_,80.86µm
_2887_,80.72µm
pwm_inst.TMR_WIRE\[10\],80.62µm
uart_inst.instance_to_wrap.fifo_rx.w_ptr_reg\[3\],80.3µm
_2235_,80.15µm
_2623_,80.08µm
_1291_,79.755µm
_1530_,79.58µm
_2647_,79.52µm
_2602_,79.4µm
uart_inst.instance_to_wrap.fifo_tx.w_ptr_reg\[3\],79.06µm
_2652_,79.02µm
_2180_,78.48µm
net454,78.36µm
_2090_,78.32µm
uart_inst.instance_to_wrap.fifo_tx.r_ptr_reg\[2\],78.1µm
_2124_,78.03µm
net447,77.9µm
_2121_,77.44µm
pwm_inst.CMPX_REG\[14\],77.4µm
net391,77.24µm
_2897_,77.2µm
_2544_,77.105µm
dat_o\[2\]\[31\],77.03µm
uart_inst.MATCH_REG\[4\],76.745µm
pwm_inst.CMPX_REG\[0\],76.635µm
pwm_inst.RELOAD_REG\[16\],76.22µm
pwm_inst.TMR_WIRE\[26\],76.06µm
_2695_,75.98µm
dat_o\[2\]\[26\],75.72µm
clknet_leaf_40_wb_clk_i,75.54µm
dat_o\[2\]\[27\],75.26µm
pwm_inst.TMR_WIRE\[23\],75.18µm
pwm_inst.RELOAD_REG\[11\],75.06µm
net200,74.96µm
dat_o\[2\]\[30\],74.8µm
net178,74.74µm
net409,74.7µm
_2659_,74.66µm
_1732_,74.46µm
net380,74.28µm
uart_inst.MATCH_REG\[8\],74.265µm
clknet_leaf_46_wb_clk_i,74.24µm
pwm_inst.PWM0CFG_REG\[8\],74.1µm
uart_inst.PR_REG\[4\],73.84µm
dat_o\[2\]\[23\],73.8µm
net138,73.72µm
net323,73.7µm
pwm_inst.PWMDT_REG\[2\],73.64µm
_2685_,73.6µm
_1843_,73.58µm
_2084_,73.54µm
pwm_inst.RELOAD_REG\[18\],73.46µm
_2975_,73.36µm
